day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_in_ads_p50,energy_in_ads_p95,energy_in_ads_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_ads_p50,love_petals_in_ads_p95,love_petals_in_ads_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_ads_p50,tickets_in_ads_p95,tickets_in_ads_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,love_petals_in_adoption_p50,love_petals_in_adoption_p95,love_petals_in_adoption_mean
1,2.0,2.0,2,0.0,2.0,0.61,0.0,1.0,0.112,1.0,3.0,1.075,0.0,2.0,0.442,1.0,2.0,0.857,0.0,1.0,0.281,2.0,3.0,1.582,1.0,3.0,1.041,10.0,18.0,10.563,8000.0,8000.0,8000,0.0,0.0,0,1.0,1.0,1,3.0,3.0,3,0.0,0.0,0,1200.0,1200.0,1200,450.0,550.0,422.3,0.0,0.0,0,40.0,40.0,40,9700.0,9700.0,9700,3000.0,3000.0,3000,8500.0,8500.0,8500,3000.0,3000.0,3000,1.0,1.0,1,300.0,300.0,300,100.0,200.0,72.3,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,40.0,40.0,40,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,12.0,12.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,2.0,2,1.0,2.0,0.74,0.0,1.0,0.109,1.0,3.0,1.227,0.0,2.0,0.488,1.0,2.0,0.912,0.0,1.0,0.329,2.0,4.0,1.88,1.0,3.0,1.315,11.0,20.0,12.635,9600.0,9600.0,8937.6,20.0,20.0,20,0.0,0.0,0,6.0,6.0,6,20.0,50.0,28.88,1150.0,1150.0,1150,600.0,900.0,654,0.0,0.0,0,80.0,80.0,80,9700.0,9700.0,9700,3000.0,3000.0,3000,12750.0,12750.0,12750,,,,1.0,1.0,0.581,200.0,200.0,200,100.0,200.0,81.7,0.0,0.0,0,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,40.0,40.0,40,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,14.0,14.0,14,0.0,30.0,8.88,0.0,1.0,0.093,0.0,1.0,0.264,0.0,1.0,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2.0,2.0,2,0.0,2.0,0.584,0.0,1.0,0.103,1.0,3.0,1.113,0.0,2.0,0.432,1.0,2.0,0.789,0.0,1.0,0.29,2.0,3.0,1.597,1.0,3.0,1.092,10.0,18.0,11.798,9600.0,12000.0,9107.2,0.0,0.0,0,1.0,1.0,1,9.0,9.0,9,50.0,50.0,42.59,1100.0,1100.0,1100,800.0,1100.0,826.2,0.0,0.0,0,120.0,120.0,120,9700.0,9700.0,9700,3000.0,3000.0,3000,12750.0,12750.0,12750,,,,1.0,1.0,0.58,,,,100.0,200.0,72.2,150.0,150.0,150,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,40.0,40.0,40,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,12.0,12.0,12,0.0,30.0,13.71,0.0,1.0,0.098,0.0,1.0,0.256,0.0,1.0,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2.0,2.0,2,1.0,2.0,0.691,0.0,1.0,0.149,1.0,3.0,1.335,0.0,2.0,0.439,1.0,3.0,0.916,0.0,1.0,0.307,2.0,4.0,1.914,1.0,3.0,1.249,11.0,20.0,12.935,9600.0,12000.0,10032,30.0,30.0,30,0.0,0.0,0,12.0,12.0,12,80.0,80.0,78.86,1050.0,1050.0,1050,850.0,1150.0,850.8,0.0,0.0,0,160.0,160.0,160,9700.0,9700.0,9700,3000.0,3000.0,3000,12750.0,12750.0,12750,,,,1.0,1.0,0.646,,,,100.0,200.0,74.6,0.0,0.0,0,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,40.0,40.0,40,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,14.0,14.0,14,0.0,30.0,6.27,0.0,1.0,0.072,0.0,1.0,0.236,0.0,0.0,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2.0,2.0,2,0.0,2.0,0.607,0.0,1.0,0.113,1.0,3.0,1.059,0.0,2.0,0.439,1.0,2.0,0.83,0.0,1.0,0.235,2.0,3.0,1.672,1.0,3.0,1.045,11.0,19.0,11.908,9600.0,12000.0,10024.8,0.0,0.0,0,1.0,1.0,1,15.0,15.0,15,80.0,130.0,82.5,1000.0,1000.0,1000,1100.0,1400.0,1068.2,0.0,0.0,0,200.0,200.0,200,9700.0,9700.0,9700,3000.0,3000.0,3000,12750.0,12750.0,12750,,,,1.0,1.0,0.605,,,,100.0,200.0,67.4,200.0,200.0,200,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,40.0,40.0,40,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,12.0,12.0,12,0.0,30.0,3.64,0.0,1.0,0.086,0.0,1.0,0.257,0.0,1.0,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2.0,2.0,2,1.0,2.0,0.689,0.0,1.0,0.103,1.0,3.0,1.238,0.0,2.0,0.537,1.0,2.0,0.941,0.0,1.0,0.341,2.0,4.0,1.892,1.0,3.0,1.259,6.0,14.0,7.517,8000.0,8000.0,8000,40.0,40.0,40,0.0,0.0,0,18.0,18.0,18,150.0,200.0,156.71,950.0,950.0,950,1400.0,1750.0,1406,0.0,0.0,0,240.0,240.0,240,9700.0,9700.0,9700,3000.0,3000.0,3000,12750.0,12750.0,12750,,,,1.0,1.0,0.593,300.0,300.0,300,100.0,300.0,87.8,0.0,0.0,0,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,,,,40.0,40.0,40,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,14.0,14.0,14,30.0,80.0,34.21,0.0,1.0,0.113,0.0,1.0,0.252,0.0,0.0,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2.0,2.0,2,0.0,2.0,0.571,0.0,1.0,0.124,1.0,3.0,1.102,0.0,2.0,0.44,1.0,2.0,0.813,0.0,1.0,0.272,2.0,4.0,1.636,1.0,3.0,1.042,10.0,19.0,11.989,8000.0,9600.0,8332.8,0.0,0.0,0,1.0,1.0,1,21.0,21.0,21,150.0,200.0,161.34,900.0,900.0,900,2310.0,2710.0,2337.2,0.0,0.0,0,0.0,0.0,0,9700.0,9700.0,9700,3000.0,3000.0,3000,12750.0,12750.0,12750,,,,1.0,1.0,0.603,,,,100.0,200.0,71.2,350.0,350.0,350,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,50.0,50.0,50,40.0,40.0,40,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,12.0,12.0,12,0.0,50.0,4.63,0.0,1.0,0.095,0.0,1.0,0.256,0.0,0.0,0.046,560.0,560.0,560,50.0,50.0,50,,,,,,,,,,,,,,,,,,,,,,,,
8,2.0,2.0,2,1.0,2.0,0.661,0.0,1.0,0.086,1.0,3.0,1.061,0.0,2.0,0.431,1.0,2.0,0.808,0.0,1.0,0.261,2.0,3.0,1.583,1.0,3.0,1.109,5.0,13.0,6.43,9600.0,9600.0,8956.8,0.0,0.0,0,1.0,1.0,1,24.0,24.0,24,150.0,200.0,165.27,350.0,350.0,350,2410.0,2810.0,2406.4,0.0,0.0,0,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,12750.0,12750.0,12750,,,,1.0,1.0,0.627,,,,100.0,200.0,69.2,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,,,,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,50.0,3.93,0.0,1.0,0.095,0.0,1.0,0.219,0.0,1.0,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2.0,2.0,2,0.0,2.0,0.615,0.0,1.0,0.082,1.0,3.0,1.12,0.0,2.0,0.428,1.0,2.0,0.817,0.0,1.0,0.243,2.0,4.0,1.618,1.0,3.0,1.077,5.0,13.0,6.575,9600.0,12000.0,9785.6,20.0,20.0,20,1.0,1.0,1,24.0,24.0,24,170.0,220.0,185.27,550.0,550.0,550,2360.0,2810.0,2373.5,0.0,0.0,0,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,,,,12000.0,12000.0,12000,1.0,1.0,0.617,,,,100.0,200.0,67.1,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,,,,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.095,0.0,1.0,0.241,0.0,0.0,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2.0,2.0,2,0.0,2.0,0.603,0.0,1.0,0.115,1.0,3.0,1.136,0.0,2.0,0.422,1.0,2.0,0.801,0.0,1.0,0.281,1.0,3.0,1.547,1.0,3.0,1.095,5.0,14.0,6.839,12000.0,12000.0,11026.4,0.0,0.0,0,1.0,1.0,1,24.0,24.0,24,170.0,220.0,185.27,750.0,750.0,750,2460.0,2960.0,2493.8,0.0,0.0,0,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,,,,12000.0,12000.0,12000,1.0,1.0,0.598,,,,100.0,200.0,70.3,150.0,150.0,150,,,,100.0,100.0,100,24.0,24.0,24,,,,,,,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.101,0.0,1.0,0.245,0.0,1.0,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2.0,2.0,2,0.0,2.0,0.641,0.0,1.0,0.104,1.0,3.0,1.152,0.0,2.0,0.411,1.0,2.0,0.793,0.0,1.0,0.242,2.0,3.0,1.626,1.0,3.0,1.031,5.0,13.0,6.788,8000.0,8000.0,8000,30.0,30.0,30,1.0,1.0,1,24.0,24.0,24,200.0,250.0,215.27,950.0,950.0,950,2460.0,2860.0,2459.1,0.0,0.0,0,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,,,,12000.0,12000.0,12000,1.0,1.0,0.606,,,,0.0,200.0,65.3,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,,,,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.09,0.0,1.0,0.25,0.0,1.0,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2.0,2.0,2,0.0,2.0,0.598,0.0,1.0,0.109,1.0,3.0,1.051,0.0,2.0,0.466,1.0,2.0,0.863,0.0,1.0,0.261,2.0,3.0,1.585,1.0,3.0,1.067,5.0,13.0,6.707,8000.0,9600.0,8332.8,0.0,0.0,0,1.0,1.0,1,24.0,24.0,24,200.0,250.0,215.27,1150.0,1150.0,1150,2660.0,3060.0,2631.8,0.0,0.0,0,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,,,,12000.0,12000.0,12000,1.0,1.0,0.611,,,,100.0,200.0,72.7,200.0,200.0,200,,,,100.0,100.0,100,24.0,24.0,24,,,,,,,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.102,0.0,1.0,0.232,0.0,1.0,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2.0,2.0,2,0.0,2.0,0.596,0.0,1.0,0.113,1.0,3.0,1.149,0.0,2.0,0.441,1.0,2.0,0.757,0.0,1.0,0.263,1.0,3.0,1.56,1.0,3.0,1.121,5.0,13.0,6.889,9600.0,9600.0,8956.8,40.0,40.0,40,1.0,1.0,1,24.0,24.0,24,240.0,290.0,255.27,1350.0,1350.0,1350,2560.0,3060.0,2602.2,0.0,0.0,0,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,,,,12000.0,12000.0,12000,1.0,1.0,0.601,,,,100.0,200.0,70.4,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,,,,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.102,0.0,1.0,0.257,0.0,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2.0,2.0,2,0.0,2.0,0.62,0.0,1.0,0.115,1.0,3.0,1.079,0.0,2.0,0.476,1.0,2.0,0.817,0.0,1.0,0.274,1.0,3.0,1.512,1.0,3.0,1.107,10.0,19.0,11.795,9600.0,12000.0,9681.6,0.0,0.0,0,1.0,1.0,1,24.0,24.0,24,240.0,290.0,255.27,50.0,50.0,50,2910.0,3410.0,2927.2,0.0,3.0,0.978,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,,,,12000.0,12000.0,12000,1.0,1.0,0.602,,,,100.0,200.0,75,350.0,350.0,350,,,,100.0,100.0,100,24.0,24.0,24,,,,50.0,50.0,50,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.091,0.0,1.0,0.249,0.0,1.0,0.058,,,,50.0,50.0,50,1500.0,1500.0,1500,0.0,3.0,0.978,0.0,1.0,0.34,0.0,1.0,0.326,0.0,1.0,0.334,,,,,,,,,
15,2.0,2.0,2,1.0,2.0,0.643,0.0,1.0,0.101,1.0,3.0,1.029,0.0,2.0,0.434,1.0,2.0,0.826,0.0,1.0,0.29,1.0,3.0,1.574,1.0,3.0,1.103,5.0,13.0,6.736,9600.0,12000.0,9962.4,0.0,0.0,0,1.0,1.0,1,24.0,24.0,24,240.0,290.0,255.27,250.0,250.0,250,3010.0,3510.0,2999.6,0.0,3.0,0.978,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,,,,12000.0,12000.0,12000,1.0,1.0,0.614,,,,100.0,200.0,72.4,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,,,,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.089,0.0,1.0,0.259,0.0,0.0,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2.0,2.0,2,0.0,2.0,0.609,0.0,1.0,0.115,1.0,3.0,1.177,0.0,2.0,0.434,1.0,2.0,0.807,0.0,1.0,0.261,1.5,3.0,1.557,1.0,3.0,1.04,6.0,13.0,6.881,8000.0,12000.0,8592,20.0,20.0,20,1.0,1.0,1,24.0,24.0,24,260.0,310.0,275.27,450.0,450.0,450,2910.0,3510.0,2969.1,0.0,3.0,0.978,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,,,,12000.0,12000.0,12000,1.0,1.0,0.589,,,,100.0,200.0,69.5,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,,,,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.102,0.0,1.0,0.253,0.0,1.0,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2.0,2.0,2,0.0,2.0,0.587,0.0,1.0,0.1,1.0,3.0,1.122,0.0,2.0,0.451,1.0,2.0,0.767,0.0,1.0,0.279,2.0,3.0,1.608,1.0,3.0,1.086,5.0,13.0,6.718,8000.0,12000.0,8728.8,0.0,0.0,0,1.0,1.0,1,24.0,24.0,24,260.0,310.0,275.27,650.0,650.0,650,3060.0,3660.0,3092.1,0.0,3.0,0.978,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,,,,12000.0,12000.0,12000,1.0,1.0,0.622,,,,100.0,200.0,73,150.0,150.0,150,,,,100.0,100.0,100,24.0,24.0,24,,,,,,,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.082,0.0,1.0,0.247,0.0,0.0,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2.0,2.0,2,0.0,2.0,0.602,0.0,1.0,0.101,1.0,3.0,1.069,0.0,2.0,0.418,1.0,2.0,0.797,0.0,1.0,0.304,1.0,3.0,1.55,1.0,3.0,1.159,5.0,13.0,6.649,9600.0,9600.0,9080.8,30.0,30.0,30,1.0,1.0,1,24.0,24.0,24,290.0,340.0,305.27,850.0,850.0,850,3060.0,3660.0,3064.3,0.0,3.0,0.978,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,,,,12000.0,12000.0,12000,1.0,1.0,0.617,,,,100.0,200.0,72.2,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,,,,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.102,0.0,1.0,0.233,0.0,0.0,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2.0,2.0,2,0.0,2.0,0.592,0.0,1.0,0.118,1.0,3.0,1.043,0.0,2.0,0.43,1.0,2.0,0.816,0.0,1.0,0.282,2.0,4.0,1.657,1.0,3.0,1.062,5.0,14.0,6.84,9600.0,9600.0,9153.6,0.0,0.0,0,1.0,1.0,1,24.0,24.0,24,290.0,340.0,305.27,1050.0,1050.0,1050,3260.0,3860.0,3235.5,0.0,3.0,0.978,0.0,0.0,0,9200.0,9200.0,9200,3000.0,3000.0,3000,,,,12000.0,12000.0,12000,1.0,1.0,0.595,,,,100.0,200.0,71.2,200.0,200.0,200,,,,100.0,100.0,100,24.0,24.0,24,,,,,,,,,,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.113,0.0,1.0,0.24,0.0,1.0,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
